"Zipcode","NonWhiteDens"
"10301",4530.44989954882
"10302",7313.83985424472
"10303",4991.02474422191
"10304",5448.01332994291
"10305",3393.12522667962
"10306",1506.38252671187
"10307",662.701331545834
"10308",1281.78749152207
"10309",321.051498493221
"10310",5764.52154972255
"10311",0
"10312",956.342837366719
"10314",1910.93788483506
"10451",40192.1324053865
"10452",64037.9190767353
"10453",76067.3179215873
"10454",30136.4130569786
"10455",47753.7118403627
"10456",77994.259260897
"10457",56978.0045471369
"10458",72427.4964065274
"10459",51719.1937950623
"10460",36007.3897885868
"10461",11142.8592906022
"10462",40554.8946006845
"10463",26197.3802619738
"10464",372.277307665135
"10465",5861.55670630787
"10466",33133.5757176053
"10467",32744.8068103923
"10468",62353.8399468033
"10469",24402.4468374254
"10470",6289.80089758369
"10471",2976.95668304414
"10472",57018.1931364846
"10473",19784.7152807434
"10474",6478.15344054495
"10475",20512.60179339
"11101",7379.48562146807
"11102",15091.0465243231
"11103",16672.2231373689
"11104",26144.8889653932
"11105",6004.56896515852
"11106",19590.3170702235
"11109",52103.17594276
"11201",16845.2095436053
"11203",34593.6329701508
"11204",21274.4521447615
"11205",23988.0735874134
"11206",32839.5354349372
"11207",29328.5917560328
"11208",22002.3594109797
"11209",9392.38807545576
"11210",25929.0370250348
"11211",13026.4802425301
"11212",43956.136793728
"11213",46232.6600012106
"11214",22150.1843543402
"11215",8309.59338947547
"11216",43258.1602589735
"11217",24342.9036042617
"11218",20939.916049922
"11219",20318.3681070511
"11220",36068.9275767613
"11221",46100.1854214633
"11222",4797.88666222695
"11223",17289.6112357156
"11224",12955.9373287742
"11225",44502.1540015509
"11226",62970.135467264
"11228",13816.6946690445
"11229",13802.0110932917
"11230",14681.9215801538
"11231",8835.09671828211
"11232",12517.4740041392
"11233",51416.8320582673
"11234",7462.10143432294
"11235",9105.3619821395
"11236",25972.3408115707
"11237",30655.7855806805
"11238",23064.4796891239
"11239",15515.1161050824
"11691",16361.0586011342
"11692",17682.6440180936
"11693",5376.37683984794
"11694",3152.84841481996
"11697",64.3421554005607
"10001",14884.1563152128
"10002",57816.8128318285
"10003",25535.6678808831
"10004",1958.6897241658
"10005",32166.0726903714
"10006",10384.0846809782
"10007",11171.8744612329
"10009",38439.1852403645
"10010",29073.4615839115
"10011",16981.5615131852
"10012",18154.3331754741
"10013",19851.7272438467
"10014",6605.18943008276
"10016",29929.5417318466
"10017",13698.5004842745
"10018",10535.7370240859
"10019",22093.5595874568
"10020",0
"10021",18556.4012235151
"10022",12199.3041133293
"10023",28334.5257573797
"10024",11884.6124042073
"10025",44006.6558786477
"10026",87160.0117112051
"10027",52080.1807161672
"10028",24007.8219341667
"10029",63357.7266761296
"10030",91708.029793639
"10031",65132.3363020014
"10032",66080.0790059015
"10033",59025.0748380584
"10034",24931.9470838133
"10035",20539.37626458
"10036",24189.6027737108
"10037",65421.7699312407
"10038",39710.0609648895
"10039",52902.261608269
"10040",79267.9252204216
"10044",29647.4728148191
"10128",29898.0943937208
"10280",19543.4346954779
"11004",10845.9801309396
"11005",610.501608835267
"11351",0
"11354",19525.6277881867
"11355",41090.1907269014
"11356",10718.7566191588
"11357",5000.8004980877
"11358",11553.9038493513
"11359",0
"11360",5352.14117940868
"11361",8786.706149165
"11362",4059.41901443252
"11363",3601.37031267691
"11364",8992.71173356189
"11365",12128.8110387508
"11366",8070.38923777319
"11367",8017.83495954358
"11368",28361.5930074515
"11369",20865.2617696127
"11370",11284.9080291403
"11371",0
"11372",42908.212170425
"11373",53453.8306695328
"11374",23260.4894882438
"11375",15329.5187996988
"11377",18462.8096632313
"11378",5267.25099403694
"11379",4559.01121654604
"11411",16731.6767463682
"11412",22489.5921431533
"11413",13166.1264270283
"11414",2666.89042133928
"11415",12810.185387236
"11416",28738.8413518333
"11417",19112.0936624841
"11418",14012.4163910091
"11419",39206.8056489817
"11420",19456.7981581026
"11421",19860.3120075711
"11422",15145.8378134032
"11423",18204.1450198787
"11424",750.77747178189
"11425",0
"11426",9834.77285706254
"11427",12110.5975160214
"11428",19654.3021424235
"11429",20595.3140965098
"11430",24.1465412151454
"11432",24673.1156461572
"11433",22644.1447227022
"11434",18337.2078294398
"11435",31979.2431278188
"11436",22735.2609096222
