"County.Name","meanOzone"
"Albany",32.8948948948949
"Bronx",32.4079885877318
"Chautauqua",36.7115384615385
"Dutchess",34.2738095238095
"Erie",36.0712166172107
"Essex",34.4281466798811
"Hamilton",33.9671232876712
"Jefferson",33.4125683060109
"Monroe",33.0547945205479
"New York",31.5901639344262
"Niagara",35.0163934426229
"Onondaga",33.2258953168044
"Orange",33.2205438066465
"Oswego",33.413698630137
"Putnam",33.678125
"Queens",35.1349862258953
"Richmond",36.3015873015873
"Rockland",32.603825136612
"Saratoga",32.9813664596273
"Steuben",33.0437158469945
"Suffolk",37.6601092896175
"Tompkins",34.4016393442623
"Wayne",34.8567164179104
"Westchester",36.0778443113772
